[id][cost,state,father_id,action,depth,h,value]
[0][0,(2, 0),None,None,0,46,46]
[3][2,(3, 0),0,S,1,45,47]
[9][3,(4, 0),3,S,2,44,47]
[11][4,(5, 0),9,S,3,43,47]
[13][5,(5, 1),11,E,4,42,47]
[14][6,(5, 2),13,E,5,41,47]
[18][7,(5, 3),14,E,6,40,47]
[22][8,(5, 4),18,E,7,39,47]
[26][9,(6, 4),22,S,8,38,47]
[37][10,(7, 4),26,S,9,37,47]
[40][11,(7, 5),37,E,10,36,47]
[44][12,(7, 6),40,E,11,35,47]
[47][14,(8, 6),44,S,12,34,48]
[74][15,(8, 7),47,E,13,33,48]
[77][16,(8, 8),74,E,14,32,48]
[80][17,(8, 9),77,E,15,31,48]
[85][18,(9, 9),80,S,16,30,48]
[91][20,(10, 9),85,S,17,29,49]
[116][21,(11, 9),91,S,18,28,49]
[119][22,(11, 10),116,E,19,27,49]
[123][24,(11, 11),119,E,20,26,50]
[205][25,(11, 12),123,E,21,25,50]
[209][29,(11, 13),205,E,22,24,53]
[409][30,(11, 14),209,E,23,23,53]
[412][31,(11, 15),409,E,24,22,53]
[417][32,(12, 15),412,S,25,21,53]
[439][33,(13, 15),417,S,26,20,53]
[465][34,(14, 15),439,S,27,19,53]
[471][35,(15, 15),465,S,28,18,53]
[486][36,(16, 15),471,S,29,17,53]
[499][37,(17, 15),486,S,30,16,53]
[506][38,(17, 16),499,E,31,15,53]
[509][39,(17, 17),506,E,32,14,53]
[513][40,(18, 17),509,S,33,13,53]
[528][41,(19, 17),513,S,34,12,53]
[536][42,(20, 17),528,S,35,11,53]
[539][43,(21, 17),536,S,36,10,53]
[542][44,(21, 18),539,E,37,9,53]
[546][45,(21, 19),542,E,38,8,53]
[549][46,(21, 20),546,E,39,7,53]
[553][50,(21, 21),549,E,40,6,56]
[980][51,(21, 22),553,E,41,5,56]
[984][52,(22, 22),980,S,42,4,56]
[1003][53,(22, 23),984,E,43,3,56]
[1007][54,(22, 24),1003,E,44,2,56]
[1011][55,(23, 24),1007,S,45,1,56]
[1021][59,(24, 24),1011,S,46,0,59]
