[id][cost,state,father_id,action,depth,h,value]
[0][0,(230, 217),None,None,0,153,153]
[3][1,(231, 217),0,S,1,152,152]
[5][2,(232, 217),3,S,2,151,151]
[11][5,(233, 217),5,S,3,150,150]
[12][8,(233, 216),11,O,4,151,151]
[16][9,(234, 216),12,S,5,150,150]
[17][12,(234, 217),16,E,6,149,149]
[19][15,(235, 217),17,S,7,148,148]
[20][16,(235, 216),19,O,8,149,149]
[21][18,(236, 216),20,S,9,148,148]
[22][22,(236, 215),21,O,10,149,149]
[25][23,(237, 215),22,S,11,148,148]
[26][27,(237, 214),25,O,12,149,149]
[28][28,(237, 213),26,O,13,150,150]
[34][32,(238, 213),28,S,14,149,149]
[36][34,(239, 213),34,S,15,148,148]
[37][36,(239, 212),36,O,16,149,149]
[39][39,(239, 211),37,O,17,150,150]
[72][41,(238, 211),39,N,18,151,151]
[76][44,(237, 211),72,N,19,152,152]
[164][46,(237, 210),76,O,20,153,153]
[167][48,(237, 209),164,O,21,154,154]
[175][52,(238, 209),167,S,22,153,153]
[176][56,(238, 208),175,O,23,154,154]
[187][57,(237, 208),176,N,24,155,155]
[200][58,(236, 208),187,N,25,156,156]
[205][60,(236, 207),200,O,26,157,157]
[208][61,(237, 207),205,S,27,156,156]
[209][62,(237, 206),208,O,28,157,157]
[210][64,(238, 206),209,S,29,156,156]
[211][68,(238, 205),210,O,30,157,157]
[220][70,(238, 204),211,O,31,158,158]
[226][74,(237, 204),220,N,32,159,159]
[230][75,(237, 205),226,E,33,158,158]
[231][76,(236, 205),230,N,34,159,159]
[232][79,(235, 205),231,N,35,160,160]
[243][80,(234, 205),232,N,36,161,161]
[253][81,(233, 205),243,N,37,162,162]
[265][83,(232, 205),253,N,38,163,163]
[272][86,(232, 206),265,E,39,162,162]
[273][87,(231, 206),272,N,40,163,163]
[274][88,(230, 206),273,N,41,164,164]
[278][92,(230, 207),274,E,42,163,163]
[279][93,(230, 208),278,E,43,162,162]
[281][97,(229, 208),279,N,44,163,163]
[284][99,(229, 209),281,E,45,162,162]
[286][100,(229, 210),284,E,46,161,161]
[287][103,(229, 211),286,E,47,160,160]
[289][106,(229, 212),287,E,48,159,159]
[290][107,(229, 213),289,E,49,158,158]
[293][109,(229, 214),290,E,50,157,157]
[294][113,(228, 214),293,N,51,158,158]
[295][116,(227, 214),294,N,52,159,159]
[307][118,(227, 215),295,E,53,158,158]
[308][119,(227, 216),307,E,54,157,157]
[309][120,(226, 216),308,N,55,158,158]
[313][123,(225, 216),309,N,56,159,159]
[314][126,(225, 217),313,E,57,158,158]
[316][128,(226, 217),314,S,58,157,157]
[317][130,(226, 218),316,E,59,156,156]
[318][133,(226, 219),317,E,60,155,155]
[319][136,(225, 219),318,N,61,156,156]
[334][138,(225, 220),319,E,62,155,155]
[335][141,(224, 220),334,N,63,156,156]
[336][143,(224, 221),335,E,64,155,155]
[337][145,(225, 221),336,S,65,154,154]
[338][146,(225, 222),337,E,66,153,153]
[339][148,(224, 222),338,N,67,154,154]
[342][149,(223, 222),339,N,68,155,155]
[344][150,(223, 223),342,E,69,154,154]
[345][152,(223, 224),344,E,70,153,153]
[347][154,(222, 224),345,N,71,154,154]
[353][155,(222, 223),347,O,72,155,155]
[354][157,(221, 223),353,N,73,156,156]
[355][161,(221, 224),354,E,74,155,155]
[356][165,(220, 224),355,N,75,156,156]
[357][169,(219, 224),356,N,76,157,157]
[359][172,(219, 223),357,O,77,158,158]
[363][176,(219, 222),359,O,78,159,159]
[368][179,(219, 221),363,O,79,160,160]
[378][181,(218, 221),368,N,80,161,161]
[393][182,(218, 220),378,O,81,162,162]
[399][184,(218, 219),393,O,82,163,163]
[405][188,(218, 218),399,O,83,164,164]
[416][190,(217, 218),405,N,84,165,165]
[424][194,(217, 217),416,O,85,166,166]
[432][198,(216, 217),424,N,86,167,167]
[450][202,(216, 216),432,O,87,168,168]
[468][205,(217, 216),450,S,88,167,167]
[469][209,(218, 216),468,S,89,166,166]
[471][211,(219, 216),469,S,90,165,165]
[472][215,(220, 216),471,S,91,164,164]
[474][218,(221, 216),472,S,92,163,163]
[475][222,(221, 215),474,O,93,164,164]
[477][224,(222, 215),475,S,94,163,163]
[478][227,(222, 214),477,O,95,164,164]
[482][230,(222, 213),478,O,96,165,165]
[486][233,(222, 212),482,O,97,166,166]
[488][237,(221, 212),486,N,98,167,167]
[490][240,(220, 212),488,N,99,168,168]
[494][241,(219, 212),490,N,100,169,169]
[509][244,(219, 211),494,O,101,170,170]
[521][245,(219, 210),509,O,102,171,171]
[526][246,(218, 210),521,N,103,172,172]
[916][248,(217, 210),526,N,104,173,173]
[930][252,(216, 210),916,N,105,174,174]
[951][256,(216, 209),930,O,106,175,175]
[1015][260,(216, 208),951,O,107,176,176]
[1031][262,(216, 207),1015,O,108,177,177]
[1040][263,(216, 206),1031,O,109,178,178]
[1068][266,(216, 205),1040,O,110,179,179]
[1098][269,(216, 204),1068,O,111,180,180]
[1116][271,(215, 204),1098,N,112,181,181]
[1130][275,(214, 204),1116,N,113,182,182]
[1152][279,(214, 203),1130,O,114,183,183]
[1169][282,(215, 203),1152,S,115,182,182]
[1170][285,(215, 202),1169,O,116,183,183]
[1171][288,(214, 202),1170,N,117,184,184]
[1185][290,(214, 201),1171,O,118,185,185]
[1199][294,(213, 201),1185,N,119,186,186]
[1212][298,(213, 202),1199,E,120,185,185]
[1213][299,(212, 202),1212,N,121,186,186]
[1215][302,(212, 203),1213,E,122,185,185]
[1216][303,(211, 203),1215,N,123,186,186]
[1217][307,(211, 202),1216,O,124,187,187]
[1222][311,(210, 202),1217,N,125,188,188]
[1237][315,(210, 203),1222,E,126,187,187]
[1238][317,(209, 203),1237,N,127,188,188]
[1239][319,(209, 202),1238,O,128,189,189]
[1254][320,(208, 202),1239,N,129,190,190]
[1265][323,(208, 203),1254,E,130,189,189]
[1266][327,(208, 204),1265,E,131,188,188]
[1268][329,(208, 205),1266,E,132,187,187]
[1270][333,(208, 206),1268,E,133,186,186]
[1271][337,(209, 206),1270,S,134,185,185]
[1272][341,(210, 206),1271,S,135,184,184]
[1273][345,(210, 207),1272,E,136,183,183]
[1274][348,(209, 207),1273,N,137,184,184]
[1275][352,(208, 207),1274,N,138,185,185]
[1277][356,(208, 208),1275,E,139,184,184]
[1278][360,(207, 208),1277,N,140,185,185]
[1391][363,(206, 208),1278,N,141,186,186]
[1395][367,(206, 207),1391,O,142,187,187]
[1401][370,(206, 206),1395,O,143,188,188]
[1402][371,(205, 206),1401,N,144,189,189]
[1404][373,(205, 205),1402,O,145,190,190]
[1405][374,(205, 204),1404,O,146,191,191]
[1417][378,(204, 204),1405,N,147,192,192]
[1611][380,(204, 205),1417,E,148,191,191]
[1612][381,(203, 205),1611,N,149,192,192]
[1614][383,(202, 205),1612,N,150,193,193]
[1619][386,(201, 205),1614,N,151,194,194]
[1626][387,(200, 205),1619,N,152,195,195]
[1637][390,(200, 204),1626,O,153,196,196]
[1644][394,(200, 203),1637,O,154,197,197]
[1661][398,(200, 202),1644,O,155,198,198]
[1665][399,(199, 202),1661,N,156,199,199]
[1677][403,(199, 201),1665,O,157,200,200]
[1713][405,(200, 201),1677,S,158,199,199]
[1714][406,(201, 201),1713,S,159,198,198]
[1715][409,(201, 200),1714,O,160,199,199]
[1716][410,(200, 200),1715,N,161,200,200]
[1717][411,(200, 199),1716,O,162,201,201]
[1726][412,(200, 198),1717,O,163,202,202]
[1741][415,(200, 197),1726,O,164,203,203]
[1748][418,(200, 196),1741,O,165,204,204]
[1754][420,(200, 195),1748,O,166,205,205]
[1772][424,(200, 194),1754,O,167,206,206]
[1783][426,(199, 194),1772,N,168,207,207]
[1787][430,(198, 194),1783,N,169,208,208]
[1792][434,(198, 195),1787,E,170,207,207]
[1794][435,(198, 196),1792,E,171,206,206]
[1795][438,(197, 196),1794,N,172,207,207]
[1798][441,(196, 196),1795,N,173,208,208]
[1799][444,(195, 196),1798,N,174,209,209]
[1803][447,(195, 197),1799,E,175,208,208]
[1805][448,(196, 197),1803,S,176,207,207]
[1806][452,(196, 198),1805,E,177,206,206]
[1807][453,(195, 198),1806,N,178,207,207]
[1808][454,(194, 198),1807,N,179,208,208]
[1810][456,(193, 198),1808,N,180,209,209]
[1811][457,(192, 198),1810,N,181,210,210]
[1814][461,(192, 197),1811,O,182,211,211]
[1819][463,(191, 197),1814,N,183,212,212]
[1831][467,(191, 198),1819,E,184,211,211]
[1832][469,(191, 199),1831,E,185,210,210]
[1833][471,(190, 199),1832,N,186,211,211]
[1835][473,(189, 199),1833,N,187,212,212]
[1837][477,(189, 198),1835,O,188,213,213]
[1840][481,(188, 198),1837,N,189,214,214]
[1845][484,(188, 199),1840,E,190,213,213]
[1846][487,(188, 200),1845,E,191,212,212]
[1847][489,(189, 200),1846,S,192,211,211]
[1848][490,(189, 201),1847,E,193,210,210]
[1849][493,(188, 201),1848,N,194,211,211]
[1906][497,(187, 201),1849,N,195,212,212]
[1907][500,(186, 201),1906,N,196,213,213]
[1914][503,(186, 200),1907,O,197,214,214]
[1915][507,(185, 200),1914,N,198,215,215]
[1919][510,(184, 200),1915,N,199,216,216]
[1924][511,(184, 199),1919,O,200,217,217]
[1942][514,(183, 199),1924,N,201,218,218]
[1945][517,(183, 198),1942,O,202,219,219]
[1946][518,(183, 197),1945,O,203,220,220]
[1947][519,(182, 197),1946,N,204,221,221]
[1949][520,(181, 197),1947,N,205,222,222]
[1953][523,(181, 198),1949,E,206,221,221]
[1954][525,(180, 198),1953,N,207,222,222]
[1957][526,(179, 198),1954,N,208,223,223]
[1960][528,(179, 199),1957,E,209,222,222]
[1961][529,(178, 199),1960,N,210,223,223]
[1975][533,(177, 199),1961,N,211,224,224]
[1976][534,(177, 200),1975,E,212,223,223]
[1978][537,(177, 201),1976,E,213,222,222]
[1979][541,(176, 201),1978,N,214,223,223]
[1980][543,(175, 201),1979,N,215,224,224]
[1981][546,(175, 202),1980,E,216,223,223]
[1982][549,(174, 202),1981,N,217,224,224]
[9015][552,(174, 201),1982,O,218,225,225]
[9022][554,(173, 201),9015,N,219,226,226]
[9024][555,(172, 201),9022,N,220,227,227]
[9026][559,(172, 200),9024,O,221,228,228]
[9030][562,(172, 199),9026,O,222,229,229]
[9121][564,(171, 199),9030,N,223,230,230]
[9133][566,(171, 200),9121,E,224,229,229]
[9135][569,(171, 201),9133,E,225,228,228]
[9137][572,(171, 202),9135,E,226,227,227]
[9138][574,(170, 202),9137,N,227,228,228]
[9140][577,(170, 203),9138,E,228,227,227]
[9141][578,(170, 204),9140,E,229,226,226]
[9142][582,(170, 205),9141,E,230,225,225]
[9144][583,(170, 206),9142,E,231,224,224]
[9146][585,(169, 206),9144,N,232,225,225]
[9147][588,(169, 205),9146,O,233,226,226]
[9152][592,(169, 204),9147,O,234,227,227]
[9153][596,(168, 204),9152,N,235,228,228]
[9154][598,(167, 204),9153,N,236,229,229]
[9155][600,(167, 203),9154,O,237,230,230]
[9156][602,(168, 203),9155,S,238,229,229]
[9157][604,(169, 203),9156,S,239,228,228]
[9158][608,(169, 202),9157,O,240,229,229]
[9159][610,(168, 202),9158,N,241,230,230]
[9161][612,(168, 201),9159,O,242,231,231]
[9167][614,(167, 201),9161,N,243,232,232]
[9172][618,(167, 202),9167,E,244,231,231]
[9173][620,(166, 202),9172,N,245,232,232]
[9175][622,(166, 203),9173,E,246,231,231]
[9176][626,(166, 204),9175,E,247,230,230]
[9177][628,(166, 205),9176,E,248,229,229]
[9178][629,(167, 205),9177,S,249,228,228]
[9179][632,(168, 205),9178,S,250,227,227]
[9180][634,(168, 206),9179,E,251,226,226]
[9181][636,(167, 206),9180,N,252,227,227]
[9182][638,(166, 206),9181,N,253,228,228]
[9189][642,(165, 206),9182,N,254,229,229]
[9198][645,(164, 206),9189,N,255,230,230]
[9201][646,(164, 207),9198,E,256,229,229]
[9202][649,(163, 207),9201,N,257,230,230]
[9215][651,(163, 208),9202,E,258,229,229]
[9216][653,(162, 208),9215,N,259,230,230]
