[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,78,0]
[1][3,(0, 1),0,E,1,77,1]
[4][7,(1, 1),1,S,2,76,2]
[10][8,(1, 2),4,E,3,75,3]
[12][11,(2, 2),10,S,4,74,4]
[15][15,(3, 2),12,S,5,73,5]
[18][16,(4, 2),15,S,6,72,6]
[22][20,(4, 1),18,O,7,73,7]
[29][24,(5, 1),22,S,8,72,8]
[46][28,(6, 1),29,S,9,71,9]
[61][30,(6, 2),46,E,10,70,10]
[68][31,(7, 2),61,S,11,69,11]
[80][34,(7, 1),68,O,12,70,12]
[85][35,(7, 0),80,O,13,71,13]
[98][37,(8, 0),85,S,14,70,14]
[114][41,(8, 1),98,E,15,69,15]
[126][42,(9, 1),114,S,16,68,16]
[144][46,(10, 1),126,S,17,67,17]
[163][50,(11, 1),144,S,18,66,18]
[179][51,(12, 1),163,S,19,65,19]
[196][53,(13, 1),179,S,20,64,20]
[216][57,(14, 1),196,S,21,63,21]
[234][61,(15, 1),216,S,22,62,22]
[251][62,(15, 2),234,E,23,61,23]
[260][64,(15, 3),251,E,24,60,24]
[267][66,(15, 4),260,E,25,59,25]
[276][69,(15, 5),267,E,26,58,26]
[287][71,(16, 5),276,S,27,57,27]
[301][75,(16, 6),287,E,28,56,28]
[315][79,(17, 6),301,S,29,55,29]
[326][82,(18, 6),315,S,30,54,30]
[332][86,(19, 6),326,S,31,53,31]
[336][87,(20, 6),332,S,32,52,32]
[342][88,(20, 5),336,O,33,53,33]
[347][89,(20, 4),342,O,34,54,34]
[353][90,(21, 4),347,S,35,53,35]
[362][94,(22, 4),353,S,36,52,36]
[377][95,(22, 3),362,O,37,53,37]
[392][96,(22, 2),377,O,38,54,38]
[409][98,(22, 1),392,O,39,55,39]
[426][99,(23, 1),409,S,40,54,40]
[450][100,(23, 0),426,O,41,55,41]
[470][102,(24, 0),450,S,42,54,42]
[489][106,(25, 0),470,S,43,53,43]
[509][108,(26, 0),489,S,44,52,44]
[525][110,(26, 1),509,E,45,51,45]
[536][113,(26, 2),525,E,46,50,46]
[550][114,(25, 2),536,N,47,51,47]
[566][115,(24, 2),550,N,48,52,48]
[578][119,(24, 3),566,E,49,51,49]
[596][123,(25, 3),578,S,50,50,50]
[608][125,(26, 3),596,S,51,49,51]
[614][129,(27, 3),608,S,52,48,52]
[617][132,(27, 4),614,E,53,47,53]
[621][133,(26, 4),617,N,54,48,54]
[625][137,(26, 5),621,E,55,47,55]
[632][141,(26, 6),625,E,56,46,56]
[637][143,(26, 7),632,E,57,45,57]
[643][147,(26, 8),637,E,58,44,58]
[652][151,(26, 9),643,E,59,43,59]
[662][153,(26, 10),652,E,60,42,60]
[673][157,(26, 11),662,E,61,41,61]
[684][158,(27, 11),673,S,62,40,62]
[695][160,(27, 12),684,E,63,39,63]
[709][164,(27, 13),695,E,64,38,64]
[724][166,(28, 13),709,S,65,37,65]
[739][169,(28, 12),724,O,66,38,66]
[753][171,(29, 12),739,S,67,37,67]
[768][175,(29, 13),753,E,68,36,68]
[783][179,(29, 14),768,E,69,35,69]
[801][181,(29, 15),783,E,70,34,70]
[822][185,(29, 16),801,E,71,33,71]
[848][187,(30, 16),822,S,72,32,72]
[877][188,(30, 15),848,O,73,33,73]
[897][192,(31, 15),877,S,74,32,74]
[918][193,(31, 16),897,E,75,31,75]
[939][195,(32, 16),918,S,76,30,76]
[968][197,(32, 17),939,E,77,29,77]
[989][198,(31, 17),968,N,78,30,78]
[1013][202,(30, 17),989,N,79,31,79]
[1037][205,(30, 18),1013,E,80,30,80]
[1063][209,(31, 18),1037,S,81,29,81]
[1090][211,(31, 19),1063,E,82,28,82]
[1114][212,(30, 19),1090,N,83,29,83]
[1138][216,(30, 20),1114,E,84,28,84]
[1160][218,(30, 21),1138,E,85,27,85]
[1187][222,(30, 22),1160,E,86,26,86]
[1217][223,(31, 22),1187,S,87,25,87]
[1247][226,(31, 23),1217,E,88,24,88]
[1280][230,(32, 23),1247,S,89,23,89]
[1320][234,(32, 24),1280,E,90,22,90]
[1352][238,(33, 24),1320,S,91,21,91]
[1376][242,(34, 24),1352,S,92,20,92]
[1403][243,(35, 24),1376,S,93,19,93]
[1431][247,(36, 24),1403,S,94,18,94]
[1461][248,(37, 24),1431,S,95,17,95]
[1486][251,(38, 24),1461,S,96,16,96]
[1508][253,(38, 25),1486,E,97,15,97]
[1532][254,(38, 26),1508,E,98,14,98]
[1555][257,(38, 27),1532,E,99,13,99]
[1575][261,(37, 27),1555,N,100,14,100]
[1595][263,(37, 28),1575,E,101,13,101]
[1614][266,(37, 29),1595,E,102,12,102]
[1634][269,(38, 29),1614,S,103,11,103]
[1656][270,(38, 30),1634,E,104,10,104]
[1679][272,(38, 31),1656,E,105,9,105]
[1704][275,(38, 32),1679,E,106,8,106]
[1738][278,(38, 33),1704,E,107,7,107]
[1774][282,(38, 34),1738,E,108,6,108]
[1811][284,(38, 35),1774,E,109,5,109]
[1845][285,(37, 35),1811,N,110,6,110]
[1872][288,(37, 36),1845,E,111,5,111]
[1897][292,(38, 36),1872,S,112,4,112]
[1920][296,(38, 37),1897,E,113,3,113]
[1943][297,(39, 37),1920,S,114,2,114]
[1973][298,(39, 38),1943,E,115,1,115]
[1998][300,(39, 39),1973,E,116,0,116]
