[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,78,0]
[1][3,(0, 1),0,E,1,77,3]
[4][7,(1, 1),1,S,2,76,7]
[11][8,(1, 2),4,E,3,75,8]
[12][11,(2, 2),11,S,4,74,11]
[15][15,(3, 2),12,S,5,73,15]
[18][16,(4, 2),15,S,6,72,16]
[20][20,(4, 1),18,O,7,73,20]
[31][24,(5, 1),20,S,8,72,24]
[54][28,(6, 1),31,S,9,71,28]
[68][30,(6, 2),54,E,10,70,30]
[75][31,(7, 2),68,S,11,69,31]
[82][34,(7, 1),75,O,12,70,34]
[96][35,(7, 0),82,O,13,71,35]
[102][37,(8, 0),96,S,14,70,37]
[122][41,(8, 1),102,E,15,69,41]
[141][42,(9, 1),122,S,16,68,42]
[153][46,(10, 1),141,S,17,67,46]
[174][50,(11, 1),153,S,18,66,50]
[196][51,(12, 1),174,S,19,65,51]
[203][53,(13, 1),196,S,20,64,53]
[219][57,(14, 1),203,S,21,63,57]
[243][61,(15, 1),219,S,22,62,61]
[261][62,(15, 2),243,E,23,61,62]
[267][64,(15, 3),261,E,24,60,64]
[275][66,(15, 4),267,E,25,59,66]
[280][69,(15, 5),275,E,26,58,69]
[288][71,(16, 5),280,S,27,57,71]
[294][75,(16, 6),288,E,28,56,75]
[312][79,(17, 6),294,S,29,55,79]
[326][82,(18, 6),312,S,30,54,82]
[332][86,(19, 6),326,S,31,53,86]
[336][87,(20, 6),332,S,32,52,87]
[340][88,(20, 5),336,O,33,53,88]
[343][89,(20, 4),340,O,34,54,89]
[346][90,(21, 4),343,S,35,53,90]
[352][94,(22, 4),346,S,36,52,94]
[365][95,(22, 3),352,O,37,53,95]
[375][96,(22, 2),365,O,38,54,96]
[381][98,(22, 1),375,O,39,55,98]
[390][99,(23, 1),381,S,40,54,99]
[404][100,(23, 0),390,O,41,55,100]
[407][102,(24, 0),404,S,42,54,102]
[431][106,(25, 0),407,S,43,53,106]
[448][108,(26, 0),431,S,44,52,108]
[460][110,(26, 1),448,E,45,51,110]
[468][113,(26, 2),460,E,46,50,113]
[494][114,(25, 2),468,N,47,51,114]
[496][115,(24, 2),494,N,48,52,115]
[507][119,(24, 3),496,E,49,51,119]
[538][123,(25, 3),507,S,50,50,123]
[561][125,(26, 3),538,S,51,49,125]
[584][129,(27, 3),561,S,52,48,129]
[602][132,(27, 4),584,E,53,47,132]
[613][133,(26, 4),602,N,54,48,133]
[618][137,(26, 5),613,E,55,47,137]
[632][141,(26, 6),618,E,56,46,141]
[637][143,(26, 7),632,E,57,45,143]
[643][147,(26, 8),637,E,58,44,147]
[657][151,(26, 9),643,E,59,43,151]
[666][153,(26, 10),657,E,60,42,153]
[678][157,(26, 11),666,E,61,41,157]
[695][158,(27, 11),678,S,62,40,158]
[703][160,(27, 12),695,E,63,39,160]
[716][164,(27, 13),703,E,64,38,164]
[732][166,(28, 13),716,S,65,37,166]
[743][169,(28, 12),732,O,66,38,169]
[750][171,(29, 12),743,S,67,37,171]
[766][175,(29, 13),750,E,68,36,175]
[792][179,(29, 14),766,E,69,35,179]
[829][181,(29, 15),792,E,70,34,181]
[846][185,(29, 16),829,E,71,33,185]
[883][187,(30, 16),846,S,72,32,187]
[907][188,(30, 15),883,O,73,33,188]
[919][192,(31, 15),907,S,74,32,192]
[944][193,(31, 16),919,E,75,31,193]
[958][195,(32, 16),944,S,76,30,195]
[981][197,(32, 17),958,E,77,29,197]
[1000][198,(31, 17),981,N,78,30,198]
[1010][202,(30, 17),1000,N,79,31,202]
[1038][205,(30, 18),1010,E,80,30,205]
[1062][209,(31, 18),1038,S,81,29,209]
[1092][211,(31, 19),1062,E,82,28,211]
[1121][212,(30, 19),1092,N,83,29,212]
[1135][216,(30, 20),1121,E,84,28,216]
[1167][218,(30, 21),1135,E,85,27,218]
[1197][222,(30, 22),1167,E,86,26,222]
[1256][223,(31, 22),1197,S,87,25,223]
[1275][226,(31, 23),1256,E,88,24,226]
[1319][230,(32, 23),1275,S,89,23,230]
[1371][234,(32, 24),1319,E,90,22,234]
[1417][238,(33, 24),1371,S,91,21,238]
[1450][242,(34, 24),1417,S,92,20,242]
[1482][243,(35, 24),1450,S,93,19,243]
[1490][247,(36, 24),1482,S,94,18,247]
[1535][248,(37, 24),1490,S,95,17,248]
[1546][251,(38, 24),1535,S,96,16,251]
[1583][253,(38, 25),1546,E,97,15,253]
[1604][254,(38, 26),1583,E,98,14,254]
[1617][257,(38, 27),1604,E,99,13,257]
[1644][261,(37, 27),1617,N,100,14,261]
[1674][263,(37, 28),1644,E,101,13,263]
[1693][266,(37, 29),1674,E,102,12,266]
[1715][269,(38, 29),1693,S,103,11,269]
[1746][270,(38, 30),1715,E,104,10,270]
[1766][272,(38, 31),1746,E,105,9,272]
[1789][275,(38, 32),1766,E,106,8,275]
[1838][278,(38, 33),1789,E,107,7,278]
[1869][282,(38, 34),1838,E,108,6,282]
[1905][284,(38, 35),1869,E,109,5,284]
[1931][285,(37, 35),1905,N,110,6,285]
[1944][288,(37, 36),1931,E,111,5,288]
[1964][292,(38, 36),1944,S,112,4,292]
[2008][296,(38, 37),1964,E,113,3,296]
[2042][297,(39, 37),2008,S,114,2,297]
[2055][298,(39, 38),2042,E,115,1,298]
[2061][300,(39, 39),2055,E,116,0,300]
