[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,98.0]
[1][2,(1, 0),0,S,1,97,99.0]
[3][3,(2, 0),1,S,2,96,99.0]
[5][6,(3, 0),3,S,3,95,101.0]
[11][7,(3, 1),5,E,4,94,101.0]
[13][8,(3, 2),11,E,5,93,101.0]
[16][9,(3, 3),13,E,6,92,101.0]
[20][10,(4, 3),16,S,7,91,101.0]
[22][11,(5, 3),20,S,8,90,101.0]
[25][12,(6, 3),22,S,9,89,101.0]
[28][13,(7, 3),25,S,10,88,101.0]
[29][14,(7, 4),28,E,11,87,101.0]
[31][15,(7, 5),29,E,12,86,101.0]
[34][16,(7, 6),31,E,13,85,101.0]
[37][17,(7, 7),34,E,14,84,101.0]
[41][18,(8, 7),37,S,15,83,101.0]
[53][19,(9, 7),41,S,16,82,101.0]
[54][20,(9, 8),53,E,17,81,101.0]
[57][22,(10, 8),54,S,18,80,102.0]
[65][23,(11, 8),57,S,19,79,102.0]
[67][24,(11, 9),65,E,20,78,102.0]
[71][25,(12, 9),67,S,21,77,102.0]
[73][26,(12, 10),71,E,22,76,102.0]
[76][27,(12, 11),73,E,23,75,102.0]
[78][28,(12, 12),76,E,24,74,102.0]
[80][29,(13, 12),78,S,25,73,102.0]
[89][30,(14, 12),80,S,26,72,102.0]
[94][31,(14, 13),89,E,27,71,102.0]
[97][32,(14, 14),94,E,28,70,102.0]
[101][33,(15, 14),97,S,29,69,102.0]
[109][35,(16, 14),101,S,30,68,103.0]
[177][36,(17, 14),109,S,31,67,103.0]
[179][37,(17, 15),177,E,32,66,103.0]
[181][38,(16, 15),179,N,33,67,105.0]
[360][39,(16, 16),181,E,34,66,105.0]
[362][40,(16, 17),360,E,35,65,105.0]
[364][41,(16, 18),362,E,36,64,105.0]
[368][42,(17, 18),364,S,37,63,105.0]
[376][43,(17, 19),368,E,38,62,105.0]
[378][44,(17, 20),376,E,39,61,105.0]
[381][45,(17, 21),378,E,40,60,105.0]
[384][46,(17, 22),381,E,41,59,105.0]
[387][47,(17, 23),384,E,42,58,105.0]
[390][49,(17, 24),387,E,43,57,106.0]
[542][50,(18, 24),390,S,44,56,106.0]
[551][51,(18, 25),542,E,45,55,106.0]
[553][53,(18, 26),551,E,46,54,107.0]
[637][54,(18, 27),553,E,47,53,107.0]
[639][55,(18, 28),637,E,48,52,107.0]
[642][56,(19, 28),639,S,49,51,107.0]
[655][57,(20, 28),642,S,50,50,107.0]
[666][58,(21, 28),655,S,51,49,107.0]
[671][59,(22, 28),666,S,52,48,107.0]
[675][60,(23, 28),671,S,53,47,107.0]
[684][61,(23, 29),675,E,54,46,107.0]
[687][62,(23, 30),684,E,55,45,107.0]
[690][63,(23, 31),687,E,56,44,107.0]
[692][64,(22, 31),690,N,57,45,109.0]
[977][67,(22, 32),692,E,58,44,111.0]
[1303][68,(22, 33),977,E,59,43,111.0]
[1306][69,(22, 34),1303,E,60,42,111.0]
[1309][70,(23, 34),1306,S,61,41,111.0]
[1323][71,(23, 35),1309,E,62,40,111.0]
[1325][72,(24, 35),1323,S,63,39,111.0]
[1346][73,(24, 36),1325,E,64,38,111.0]
[1349][74,(25, 36),1346,S,65,37,111.0]
[1353][75,(25, 37),1349,E,66,36,111.0]
[1357][76,(26, 37),1353,S,67,35,111.0]
[1362][78,(27, 37),1357,S,68,34,112.0]
[1541][79,(27, 38),1362,E,69,33,112.0]
[1543][81,(28, 38),1541,S,70,32,113.0]
[1750][82,(28, 39),1543,E,71,31,113.0]
[1752][83,(28, 40),1750,E,72,30,113.0]
[1756][85,(29, 40),1752,S,73,29,114.0]
[1968][86,(29, 41),1756,E,74,28,114.0]
[1971][88,(30, 41),1968,S,75,27,115.0]
[2228][89,(31, 41),1971,S,76,26,115.0]
[2240][91,(32, 41),2228,S,77,25,116.0]
[2528][92,(32, 42),2240,E,78,24,116.0]
[2531][95,(32, 43),2528,E,79,23,118.0]
[3047][96,(32, 44),2531,E,80,22,118.0]
[3051][97,(33, 44),3047,S,81,21,118.0]
[3069][99,(34, 44),3051,S,82,20,119.0]
[3488][100,(35, 44),3069,S,83,19,119.0]
[3503][101,(35, 45),3488,E,84,18,119.0]
[3506][102,(36, 45),3503,S,85,17,119.0]
[3524][103,(36, 46),3506,E,86,16,119.0]
[3527][104,(37, 46),3524,S,87,15,119.0]
[3552][105,(37, 47),3527,E,88,14,119.0]
[3555][106,(37, 48),3552,E,89,13,119.0]
[3558][107,(37, 49),3555,E,90,12,119.0]
[3561][108,(38, 49),3558,S,91,11,119.0]
[3569][109,(39, 49),3561,S,92,10,119.0]
[3570][110,(40, 49),3569,S,93,9,119.0]
[3572][112,(41, 49),3570,S,94,8,120.0]
[3790][113,(42, 49),3572,S,95,7,120.0]
[3809][115,(43, 49),3790,S,96,6,121.0]
[4054][118,(44, 49),3809,S,97,5,123.0]
[4427][119,(45, 49),4054,S,98,4,123.0]
[4436][120,(45, 48),4427,O,99,5,125.0]
[4673][122,(46, 48),4436,S,100,4,126.0]
[4797][123,(47, 48),4673,S,101,3,126.0]
[4801][124,(48, 48),4797,S,102,2,126.0]
[4804][125,(48, 49),4801,E,103,1,126.0]
[4807][126,(49, 49),4804,S,104,0,126.0]
