[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,78,78]
[1][3,(0, 1),0,E,1,77,80]
[4][7,(1, 1),1,S,2,76,83]
[11][8,(1, 2),4,E,3,75,83]
[12][11,(2, 2),11,S,4,74,85]
[15][15,(3, 2),12,S,5,73,88]
[18][16,(4, 2),15,S,6,72,88]
[20][20,(4, 1),18,O,7,73,93]
[42][24,(5, 1),20,S,8,72,96]
[57][28,(6, 1),42,S,9,71,99]
[72][30,(6, 2),57,E,10,70,100]
[77][31,(7, 2),72,S,11,69,100]
[81][34,(7, 1),77,O,12,70,104]
[113][35,(7, 0),81,O,13,71,106]
[126][37,(8, 0),113,S,14,70,107]
[131][41,(8, 1),126,E,15,69,110]
[150][42,(9, 1),131,S,16,68,110]
[153][46,(10, 1),150,S,17,67,113]
[173][50,(11, 1),153,S,18,66,116]
[200][51,(12, 1),173,S,19,65,116]
[203][53,(13, 1),200,S,20,64,117]
[216][57,(14, 1),203,S,21,63,120]
[236][61,(15, 1),216,S,22,62,123]
[254][62,(15, 2),236,E,23,61,123]
[256][64,(15, 3),254,E,24,60,124]
[269][66,(15, 4),256,E,25,59,125]
[275][69,(15, 5),269,E,26,58,127]
[282][71,(16, 5),275,S,27,57,128]
[288][75,(16, 6),282,E,28,56,131]
[302][79,(17, 6),288,S,29,55,134]
[314][82,(18, 6),302,S,30,54,136]
[320][86,(19, 6),314,S,31,53,139]
[333][87,(20, 6),320,S,32,52,139]
[336][88,(20, 5),333,O,33,53,141]
[342][89,(20, 4),336,O,34,54,143]
[349][90,(21, 4),342,S,35,53,143]
[351][94,(22, 4),349,S,36,52,146]
[360][95,(22, 3),351,O,37,53,148]
[365][96,(22, 2),360,O,38,54,150]
[381][98,(22, 1),365,O,39,55,153]
[402][99,(23, 1),381,S,40,54,153]
[405][100,(23, 0),402,O,41,55,155]
[421][102,(24, 0),405,S,42,54,156]
[426][106,(25, 0),421,S,43,53,159]
[460][108,(26, 0),426,S,44,52,160]
[468][110,(26, 1),460,E,45,51,161]
[479][113,(26, 2),468,E,46,50,163]
[495][114,(25, 2),479,N,47,51,165]
[506][115,(24, 2),495,N,48,52,167]
[515][119,(24, 3),506,E,49,51,170]
[561][123,(25, 3),515,S,50,50,173]
[587][125,(26, 3),561,S,51,49,174]
[593][129,(27, 3),587,S,52,48,177]
[604][132,(27, 4),593,E,53,47,179]
[609][133,(26, 4),604,N,54,48,181]
[616][137,(26, 5),609,E,55,47,184]
[629][141,(26, 6),616,E,56,46,187]
[635][143,(26, 7),629,E,57,45,188]
[640][147,(26, 8),635,E,58,44,191]
[650][151,(26, 9),640,E,59,43,194]
[661][153,(26, 10),650,E,60,42,195]
[669][157,(26, 11),661,E,61,41,198]
[691][158,(27, 11),669,S,62,40,198]
[694][160,(27, 12),691,E,63,39,199]
[707][164,(27, 13),694,E,64,38,202]
[729][166,(28, 13),707,S,65,37,203]
[734][169,(28, 12),729,O,66,38,207]
[750][171,(29, 12),734,S,67,37,208]
[753][175,(29, 13),750,E,68,36,211]
[775][179,(29, 14),753,E,69,35,214]
[806][181,(29, 15),775,E,70,34,215]
[815][185,(29, 16),806,E,71,33,218]
[833][187,(30, 16),815,S,72,32,219]
[846][188,(30, 15),833,O,73,33,221]
[854][192,(31, 15),846,S,74,32,224]
[884][193,(31, 16),854,E,75,31,224]
[886][195,(32, 16),884,S,76,30,225]
[898][197,(32, 17),886,E,77,29,226]
[905][198,(31, 17),898,N,78,30,228]
[917][202,(30, 17),905,N,79,31,233]
[988][205,(30, 18),917,E,80,30,235]
[1010][209,(31, 18),988,S,81,29,238]
[1068][211,(31, 19),1010,E,82,28,239]
[1083][212,(30, 19),1068,N,83,29,241]
[1104][216,(30, 20),1083,E,84,28,244]
[1130][218,(30, 21),1104,E,85,27,245]
[1143][222,(30, 22),1130,E,86,26,248]
[1174][223,(31, 22),1143,S,87,25,248]
[1177][226,(31, 23),1174,E,88,24,250]
[1203][230,(32, 23),1177,S,89,23,253]
[1240][234,(32, 24),1203,E,90,22,256]
[1278][238,(33, 24),1240,S,91,21,259]
[1317][242,(34, 24),1278,S,92,20,262]
[1356][243,(35, 24),1317,S,93,19,262]
[1359][247,(36, 24),1356,S,94,18,265]
[1396][248,(37, 24),1359,S,95,17,265]
[1399][251,(38, 24),1396,S,96,16,267]
[1423][253,(38, 25),1399,E,97,15,268]
[1438][254,(38, 26),1423,E,98,14,268]
[1441][257,(38, 27),1438,E,99,13,270]
[1466][261,(37, 27),1441,N,100,14,275]
[1498][263,(37, 28),1466,E,101,13,276]
[1501][266,(37, 29),1498,E,102,12,278]
[1514][269,(38, 29),1501,S,103,11,280]
[1520][270,(38, 30),1514,E,104,10,280]
[1523][272,(38, 31),1520,E,105,9,281]
[1531][275,(38, 32),1523,E,106,8,283]
[1554][278,(38, 33),1531,E,107,7,285]
[1572][282,(38, 34),1554,E,108,6,288]
[1605][284,(38, 35),1572,E,109,5,289]
[1615][285,(37, 35),1605,N,110,6,291]
[1629][288,(37, 36),1615,E,111,5,293]
[1645][292,(38, 36),1629,S,112,4,296]
[1669][296,(38, 37),1645,E,113,3,299]
[1691][297,(39, 37),1669,S,114,2,299]
[1694][298,(39, 38),1691,E,115,1,299]
[1695][300,(39, 39),1694,E,116,0,300]
