[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[2][3,(1, 0),0,S,1,72,3]
[3][5,(1, 1),2,E,2,71,5]
[9][8,(2, 1),3,S,3,70,8]
[14][9,(2, 2),9,E,4,69,9]
[18][10,(3, 2),14,S,5,68,10]
[20][12,(4, 2),18,S,6,67,12]
[36][15,(5, 2),20,S,7,66,15]
[56][17,(6, 2),36,S,8,65,17]
[73][18,(6, 3),56,E,9,64,18]
[85][19,(6, 4),73,E,10,63,19]
[95][20,(6, 5),85,E,11,62,20]
[112][22,(7, 5),95,S,12,61,22]
[147][23,(8, 5),112,S,13,60,23]
[166][24,(9, 5),147,S,14,59,24]
[185][27,(9, 6),166,E,15,58,27]
[239][28,(10, 6),185,S,16,57,28]
[259][30,(11, 6),239,S,17,56,30]
[285][31,(11, 7),259,E,18,55,31]
[311][32,(12, 7),285,S,19,54,32]
[335][34,(13, 7),311,S,20,53,34]
[370][35,(14, 7),335,S,21,52,35]
[401][36,(14, 8),370,E,22,51,36]
[423][37,(14, 9),401,E,23,50,37]
[452][38,(14, 10),423,E,24,49,38]
[480][39,(14, 11),452,E,25,48,39]
[516][42,(14, 12),480,E,26,47,42]
[613][43,(14, 13),516,E,27,46,43]
[644][44,(15, 13),613,S,28,45,44]
[676][45,(16, 13),644,S,29,44,45]
[719][46,(16, 14),676,E,30,43,46]
[762][48,(17, 14),719,S,31,42,48]
[842][49,(18, 14),762,S,32,41,49]
[879][51,(19, 14),842,S,33,40,51]
[962][52,(20, 14),879,S,34,39,52]
[995][53,(21, 14),962,S,35,38,53]
[1017][54,(22, 14),995,S,36,37,54]
[1065][55,(23, 14),1017,S,37,36,55]
[1106][56,(24, 14),1065,S,38,35,56]
[1149][57,(25, 14),1106,S,39,34,57]
[1184][58,(26, 14),1149,S,40,33,58]
[1212][59,(26, 15),1184,E,41,32,59]
[1245][60,(26, 16),1212,E,42,31,60]
[1274][61,(27, 16),1245,S,43,30,61]
[1322][62,(28, 16),1274,S,44,29,62]
[1353][64,(29, 16),1322,S,45,28,64]
[1432][65,(30, 16),1353,S,46,27,65]
[1462][66,(31, 16),1432,S,47,26,66]
[1509][67,(32, 16),1462,S,48,25,67]
[1548][68,(32, 17),1509,E,49,24,68]
[1584][69,(32, 18),1548,E,50,23,69]
[1620][70,(33, 18),1584,S,51,22,70]
[1668][71,(34, 18),1620,S,52,21,71]
[1699][72,(35, 18),1668,S,53,20,72]
[1735][73,(36, 18),1699,S,54,19,73]
[1768][77,(37, 18),1735,S,55,18,77]
[1916][78,(38, 18),1768,S,56,17,78]
[1944][80,(39, 18),1916,S,57,16,80]
[2019][82,(40, 18),1944,S,58,15,82]
[2089][83,(41, 18),2019,S,59,14,83]
[2136][84,(42, 18),2089,S,60,13,84]
[2189][85,(42, 19),2136,E,61,12,85]
[2243][86,(43, 19),2189,S,62,11,86]
[2293][87,(44, 19),2243,S,63,10,87]
[2333][89,(45, 19),2293,S,64,9,89]
[2411][92,(45, 20),2333,E,65,8,92]
[2505][93,(45, 21),2411,E,66,7,93]
[2539][94,(45, 22),2505,E,67,6,94]
[2566][95,(46, 22),2539,S,68,5,95]
[2595][96,(46, 23),2566,E,69,4,96]
[2621][97,(47, 23),2595,S,70,3,97]
[2653][98,(48, 23),2621,S,71,2,98]
[2671][100,(48, 24),2653,E,72,1,100]
[2698][101,(49, 24),2671,S,73,0,101]
