[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,78,78]
[1][3,(0, 1),0,E,1,77,77]
[4][7,(1, 1),1,S,2,76,76]
[8][8,(1, 2),4,E,3,75,75]
[9][11,(2, 2),8,S,4,74,74]
[12][15,(3, 2),9,S,5,73,73]
[15][16,(4, 2),12,S,6,72,72]
[171][20,(4, 1),15,O,7,73,73]
[178][24,(5, 1),171,S,8,72,72]
[182][28,(6, 1),178,S,9,71,71]
[185][30,(6, 2),182,E,10,70,70]
[187][31,(7, 2),185,S,11,69,69]
[192][34,(7, 1),187,O,12,70,70]
[197][35,(7, 0),192,O,13,71,71]
[200][37,(8, 0),197,S,14,70,70]
[202][41,(8, 1),200,E,15,69,69]
[203][42,(9, 1),202,S,16,68,68]
[206][46,(10, 1),203,S,17,67,67]
[210][50,(11, 1),206,S,18,66,66]
[231][51,(12, 1),210,S,19,65,65]
[234][53,(13, 1),231,S,20,64,64]
[237][57,(14, 1),234,S,21,63,63]
[239][61,(15, 1),237,S,22,62,62]
[242][62,(15, 2),239,E,23,61,61]
[244][64,(15, 3),242,E,24,60,60]
[248][66,(15, 4),244,E,25,59,59]
[250][69,(15, 5),248,E,26,58,58]
[253][71,(16, 5),250,S,27,57,57]
[256][75,(16, 6),253,E,28,56,56]
[260][79,(17, 6),256,S,29,55,55]
[263][82,(18, 6),260,S,30,54,54]
[265][86,(19, 6),263,S,31,53,53]
[268][87,(20, 6),265,S,32,52,52]
[273][88,(20, 5),268,O,33,53,53]
[278][89,(20, 4),273,O,34,54,54]
[375][90,(21, 4),278,S,35,53,53]
[377][94,(22, 4),375,S,36,52,52]
[382][95,(22, 3),377,O,37,53,53]
[446][96,(22, 2),382,O,38,54,54]
[450][98,(22, 1),446,O,39,55,55]
[465][99,(23, 1),450,S,40,54,54]
[468][100,(23, 0),465,O,41,55,55]
[472][102,(24, 0),468,S,42,54,54]
[474][106,(25, 0),472,S,43,53,53]
[477][108,(26, 0),474,S,44,52,52]
[480][110,(26, 1),477,E,45,51,51]
[482][113,(26, 2),480,E,46,50,50]
[484][114,(25, 2),482,N,47,51,51]
[486][115,(24, 2),484,N,48,52,52]
[501][119,(24, 3),486,E,49,51,51]
[506][123,(25, 3),501,S,50,50,50]
[510][125,(26, 3),506,S,51,49,49]
[512][129,(27, 3),510,S,52,48,48]
[514][132,(27, 4),512,E,53,47,47]
[516][133,(26, 4),514,N,54,48,48]
[521][137,(26, 5),516,E,55,47,47]
[524][141,(26, 6),521,E,56,46,46]
[527][143,(26, 7),524,E,57,45,45]
[531][147,(26, 8),527,E,58,44,44]
[534][151,(26, 9),531,E,59,43,43]
[538][153,(26, 10),534,E,60,42,42]
[541][157,(26, 11),538,E,61,41,41]
[543][158,(27, 11),541,S,62,40,40]
[546][160,(27, 12),543,E,63,39,39]
[549][164,(27, 13),546,E,64,38,38]
[552][166,(28, 13),549,S,65,37,37]
[555][169,(28, 12),552,O,66,38,38]
[557][171,(29, 12),555,S,67,37,37]
[559][175,(29, 13),557,E,68,36,36]
[561][179,(29, 14),559,E,69,35,35]
[565][181,(29, 15),561,E,70,34,34]
[568][185,(29, 16),565,E,71,33,33]
[571][187,(30, 16),568,S,72,32,32]
[574][188,(30, 15),571,O,73,33,33]
[576][192,(31, 15),574,S,74,32,32]
[578][193,(31, 16),576,E,75,31,31]
[580][195,(32, 16),578,S,76,30,30]
[583][197,(32, 17),580,E,77,29,29]
[584][198,(31, 17),583,N,78,30,30]
[670][202,(30, 17),584,N,79,31,31]
[673][205,(30, 18),670,E,80,30,30]
[676][209,(31, 18),673,S,81,29,29]
[679][211,(31, 19),676,E,82,28,28]
[681][212,(30, 19),679,N,83,29,29]
[686][216,(30, 20),681,E,84,28,28]
[688][218,(30, 21),686,E,85,27,27]
[692][222,(30, 22),688,E,86,26,26]
[694][223,(31, 22),692,S,87,25,25]
[697][226,(31, 23),694,E,88,24,24]
[698][230,(32, 23),697,S,89,23,23]
[701][234,(32, 24),698,E,90,22,22]
[703][238,(33, 24),701,S,91,21,21]
[707][242,(34, 24),703,S,92,20,20]
[713][243,(35, 24),707,S,93,19,19]
[719][247,(36, 24),713,S,94,18,18]
[725][248,(37, 24),719,S,95,17,17]
[728][251,(38, 24),725,S,96,16,16]
[741][253,(38, 25),728,E,97,15,15]
[742][254,(38, 26),741,E,98,14,14]
[745][257,(38, 27),742,E,99,13,13]
[747][261,(37, 27),745,N,100,14,14]
[753][263,(37, 28),747,E,101,13,13]
[755][266,(37, 29),753,E,102,12,12]
[758][269,(38, 29),755,S,103,11,11]
[761][270,(38, 30),758,E,104,10,10]
[764][272,(38, 31),761,E,105,9,9]
[767][275,(38, 32),764,E,106,8,8]
[771][278,(38, 33),767,E,107,7,7]
[774][282,(38, 34),771,E,108,6,6]
[776][284,(38, 35),774,E,109,5,5]
[778][285,(37, 35),776,N,110,6,6]
[785][288,(37, 36),778,E,111,5,5]
[787][292,(38, 36),785,S,112,4,4]
[790][296,(38, 37),787,E,113,3,3]
[792][297,(39, 37),790,S,114,2,2]
[795][298,(39, 38),792,E,115,1,1]
[796][300,(39, 39),795,E,116,0,0]
